full_text,translated_text,sentimen
qris bahaya sebenarnya cepat habis saldo,qris danger actually runs out quickly the balance,Positif
barcode ayo scan scan seminggu kemudian 500k habis jir,barcode let's scan a week a week later 500k runs out jir,Netral
sederhana trump suka,simple trump likes,Netral
akhirnya beli game dlsite via qris,finally buying dlsite games via qris,Netral
2027 indonesia black list jepang,2027 indonesia black list japan,Negatif
amerika uyy bahaye,america uyy baaye,Netral
trump senang,trump is happy,Positif
reaksi ku,my reaction,Netral
malay punya la,malay has la,Netral
amerika,american,Netral
otw,otw,Netral
ayay,ayay,Netral
saldo mengalirr batass pak,"balance flowing limit, sir",Netral
uhuyy gaperlu pake mata uang jepang beli barang cukup pake qris,uhuyy gaperlu using japanese currency buying items enough using qris,Netral
ojisan ojisan 1jam 20ribu yen mahal mahal qris,ojisan ojisan 1 hour 20 thousand yen expensive expensive qris,Negatif
amerika suka,america likes,Netral
biasa tapi amerika suka,ordinary but america likes,Negatif
meh sini meh,meh here meh,Netral
wii keren,wii cool,Positif
mantep wak,matep wak,Netral
darmawan,darmawan,Netral
blar blar blar,blar blaer blar,Netral
tinggal jepang aja,just japanese stay,Netral
china donghua ku kultivator,china donghua my cultivator,Netral
kurisuuuu,kurisuuuu,Netral
izin bantu sold in dongip11pro 256gb inter 3jt bu,sold in dongip11pro 256gb int 3m 3m bu,Netral
okeh ichiman gosen,okeh ichiman gosen,Netral
dijeoang nyebutnya keris qris kyuris apaan diindo aneh2 nyebutnya,"in japan, what is the kyuris qris keris in indonesia is weird",Negatif
ichiman gosen pake qris sekarang ya,ichiman gosen uses qris now,Netral
beli jajan pake gopay,buy snacks using gopay,Netral
mamarika marah,mamarika is angry,Negatif
fabx gak,fabx or not,Netral
sederhana blonde gasuka,simple blonde gasuka,Netral
inikah evanur malay viral cek balesan,this is evanur malay viral check call,Netral
go go bank indonesia semoga ada tikus dalamnya,"go go bank indonesia, hopefully there will be a mouse inside",Netral
alhamdulillah,alhamdulillah,Netral
kabukicho qris,kabukicho qris,Netral
yes waktunya mengejar jepang,yes time to chase japan,Netral
indonesia senang amrik suka,indonesia is happy amrik likes,Positif
indo maju dikit amrek tak suka lah,indo advanced a little amrek not like it,Positif
yng kelompok silat jepang jan kebanyakan tingkah gua tinggal 3 th bisa kerja,japanese martial arts group jan most of the lives of 3 years can work,Positif
qris terbitmaka indonesia blacklist tiba,qris bitmaka indonesia blacklist arrives,Netral
i dont believe that,i dont believe that,Netral
trump menykai postingan,trump likes posts,Netral
gelooo kira qris bukan buatanindonesiawkwkwkwk,gelo kira qris is not made in indonesia wkwkwkwk,Netral
kasian iq78 padalah malay lama,poor iq 78 even though malay is old,Negatif
yess kalo jepang usah nuker uang dulu tinggal scan qriss ahahaha,"yess if japan can exchange money first, just scan qris ahahaha",Positif
salah satu bangga ama indosektor korupsinya aj yang bikin muak,one of the prouds of the corruption indosectors is fed up,Netral
awas yang panas,watch out for a hot one,Positif
hehehe bisa melakukan pembayaran situs qris pembayaran ribet harap dengan adanya qris mempermudah membeli dari situs,"hehehe can make payments for qris sites complicated payments, hope that with qris make it easier to buy from the site",Negatif
sederhana buat amerika marah,simple for america angry,Negatif
mamarika geramnya,mamarika is furious,Netral
amerika bimlekoyyy geram nye,america bimlekoyyy is furious,Netral
amerika suka,america likes,Netral
hii guys bantu up aku ada seorang nenek jualannya sepi tolong ramein maaf kalau oot,hii guys help up i have a grandmother selling quiet please please apologize if oot,Netral
hrsnya kasih biaya make qris sihindonesiaharus memanfaatkan,must give the fees for make qris sihindonesiahahali must use,Netral
sederhana truman suka,simple truman likes,Netral
takai takai takai,takai takai takai,Netral
hountou ka,hontou ka,Netral
anime judul qris my life datang,anime title qris my life comes,Netral
disitulah pemerintah mulai muter otak bisa malak pendapatan dari qris,that's where the government began to turn around the brain to be able to revenue from qris,Positif
sebenarnya jadi ladang cuan kalau qris dikenakan fee anggaplah 1,actually it becomes a cuan field if qris is subject to fee.,Negatif
turisindonesiayang jalanjalan jepang enak tidak perlu tukarmenukar uang rp yen pertanyaan apakah semua atau baru,"touristsindonesia, which is a delicious japanese road, no need to exchange money rp.",Positif
salah satu unggulan negara indonesia bikin negara negara barat ketar ketir qris,one of the superior countries of indonesia makes the western country tightened qris,Positif
bahkan sekarang qris wajib di warung warung kelontong,even now qris is mandatory at a grocery stall,Netral
nyebutnya kyurisu,call it kyurisu,Netral
berpikiran positif walaupun pernah jepang yang comment negatif sebenarnya pernah jepang sihnantikan yang evaluasi menguntungkan tidak santai ajalah,"thinking positive even though the japanese who had a negative comment was actually a japanese, the evaluation of profitable was not relaxed",Negatif
pengalihan isu tangkap adili anis,the transfer of the arrest issue of adili anis,Negatif
asal jangan typo pas kirisu jadi korosu,just don't do typo when kirisu becomes korosu,Netral
mending sendiri bayangkan lagi ngantri,better yourself imagine queue again,Positif
takut dikira penipu ngedit nominal bjir,afraid of being mistaken for a con artist to edit nominal bjir,Negatif
the biggest fear people jaman nowww,the biggest fear people now,Netral
normalisasi pake cash napa,normalization using cash napa,Netral
gua pernah hospot ama kasirnya ahahah,i've been hotspot with the cashier ah ah,Netral
pernah kasirr waktu ada costumer belanja 300k jaringan ngeleg panik tangannya gemeteran gw santai nungguin pura ngk liat takut makin grogi kasian sihh lucu,never gave it when there was a 300k shopping customer network panicked his hands tremble,Netral
tidak sinyal ngelag,no signal slag,Netral
qris core,qris core,Netral
lagii,again,Netral
gua pernah sepanik beli minuman eh ternyata ada jaringan mana minuman jadi minta wifi penjual hp gua hang bjirrr untung sepi akhirnya abangnya gapapa bayarnya besok akhirnya gua ngutang dulu tetep gua bayar ko besoknya abangnya baik padahal kenal,"i've been bought a drink eh, it turns out that there is a network of drinks so i asked for wifi, my cellphone seller was hanging bjirrr, fortunately, finally the brother, i didn't pay for tomorrow, finally i owe it first, but i paid the next day, the brother was good even though i knew it",Positif
bisa hotspot bentar palet internet,can be hotspot for a while internet palette,Netral
bukan jaringan jelek kadang tiba2 kuota di tempat kek wasyem tidak sihhh,not a bad network sometimes suddenly the quota in the keh wasyem is not any,Positif
lebih malu bayar pake qris lupa kalau gd kuota,more ashamed to pay using qris forgot if there is a quota,Positif
when kemana mana kalau bawak uang cash sama qris,when where if i bring cash with qris,Netral
bayar qris bca eh indikator merah,pay qris bca eh red indicator,Netral
takut dikira ada saldo,afraid of being thought there is a balance,Negatif
lebih parah jaringannya ilang woi maklum user inter,worse the network is gone,Negatif
udah muak jatuh sejatuhnya,already fed up falling down,Negatif
allah iyaa,allah yeah,Netral
pernah top up dana ngga bawa dompet,"never top up funds, i didn't bring a wallet",Negatif
siapa pernah minta hotspot nya,who ever asked for the hotspot,Netral
seketika kena panic attack,instantly hit the panic attack,Netral
canggung plishhhh,awkward plishhhh,Negatif
kepanikan sosial,social panic,Positif
pernah mau bayar pke qris kuota gua habis situ benar bingung akhirnya minta hostpot sama kasirnya,"i've ever wanted to pay for the quota of my quota, i was really confused, finally i asked for hostpot with the cashier",Negatif
baruu kejadian tadi pagi,just happened this morning,Netral
pernah ngasih hotspot random bayar qris gara gara kuotanya,ever gave a random hotspot paying qris because of the quota,Negatif
pernah sampe minta hotspot sellernya,once asked for a hotspot seller,Netral
pernah waktu digacoan untung bawa cash malu asli,"once when it was backed up, i brought the original shameed cash",Positif
pernah salah masukin kode akses sampe mbanking blokir mana kartu debit juga ilang,i once entered the access code until mbanking blocked where the debit card was also lost,Netral
panas dingin,chills,Netral
awkward moment,awkward moment,Negatif
telkomsel hari,telkomsel day,Netral
pls,pls,Netral
doll,doll,Netral
panic moment kalau ngantriii keringet dingin njirr,panic moments if queuing cold sweat njir,Negatif
gua,cave,Netral
ketakutan terbesar gen z,gen z's biggest fear,Netral
rasanya panas dingin,it feels hot and cold,Negatif
mba kasirnya sering nemuin cust kendala kek gini kadang yang minta tetring,"ma'am, the cashier often finds customers, sometimes the obstacles are asking for tetring",Negatif
gua pernah hospot ama kasirnya ahahah,i've been hotspot with the cashier ah ah,Netral
kalo hp ngelag,if the cellphone is lagging,Netral
ternyata cek sms kuota telah habis berakhir coba minta hospot kasirnya keadaan sadar malu sedikitpun,"it turns out that the quota sms check has run out, try asking for the cashier's host.",Netral
selalu pas dibutuhin selalu tiba2 hilang,always fitting to be needed always suddenly disappear,Positif
pernah gabisa hospot sama tidak kenal mana ganteng,never can be hotspot and not know how handsome,Positif
emg bete pernah terpaksa pake qris gara2 mamang kgk kembalian,emg behe has been forced to use qris because of mamang kgk change,Negatif
kaliii pesen siapin duluuu qris nyaaa sendiri kalo ngantri kasian nunggu belakang,"if you order, prepare the qris himself if you queue up, wait for the back",Netral
jg kalau customer gugup makanya kalau custku eror jaringannya lngsng gapapa ka santai,"also if the customer is nervous, so if the custom custom customs are immediately leisure",Netral
kalau yang ngantri belakang guee langsung batalin bayar pake kartu,if the one who queued behind me immediately canceled paying using a card,Negatif
yaallah rill bgtttt woyy,"o allah, it's a real real",Positif
hati minta hotspot sama kasirnya tidak,heart asking for a hotspot with the cashier is not,Netral
pernah di minimarket ternyata habis paket minta hotspot kasirny bayar malu,once in the convenience store it turned out that the package had asked for the kasirny hotspot to pay shame,Netral
pernah jaringan tiba tiba ilang akhirnya memberanikan diri minta hotspot kknya untung baik,"the role of the network suddenly lost finally ventured to ask for the kk hotspot, good luck",Positif
pernah pinjam hotspot abang penjualnya ternyata data gua habis mau bayar,"never borrowed the seller's brother's hotspot, it turned out that my data was running out",Netral
gua minta wifi kalau jaringan lemot,i ask for wifi if the network is slow,Negatif
sering,often,Netral
qriscash tapi jangan kek gerai sekarang tidak terima cash uu melarang menolak cash sbg alat pembayaran,qriscash but don't get out the outlets now do not accept cash uu forbidding refusing cash as a means of payment,Netral
pernah sampe kasirnya nawarin saya kasih hotspot malu anjirrr,"once until the cashier offered me, i gave me hotspot shy",Negatif
mana lagi gwe ampe hospotin sama kk kk buat bayarnya,where else ampe hospotin with kk kk to pay it,Netral
bni njr,bni njr,Netral
ditambah hp lemot,plus slow cellphones,Negatif
sering terjadi tidak kendala kuota jaringan,it often occurs no network quota constraints,Netral
pov kalau pke telkomnyet,pov if pke telkomnyet,Netral
knp yaaa kalau buru buruin mlh ngelag gada sinyal,why if you are rushed to mlh lag the signal,Netral
paling kesel menunya barcode masuk iklan,the most upset menu barcode entered the ad,Positif
tim netral qris cash,qris cash neutral team,Netral
yang smpai hospott lnsung sma kasirnya,who reached the direct hotspot with the cashier,Positif
dag dig dug,dag dig dug,Netral
perna tiba2 lupa sandi,the role suddenly forgot the password,Netral
hahaa pliss,hahaa pliss,Netral
mas disini qda wifi ga,"bro, here is qda wifi ga",Netral
kadang lupa lagi ada kouta,sometimes forgot again there is a quota,Netral
jaringan jelek tiba kouta habis behh panik,bad network arrives quota runs out of panic defender,Negatif
bca babi merah mulu bayar pake qris,bca red pigs mulu pay using qris,Netral
kendala semua pengguna bca mobile jaringan bagus merah teruskalo qris enakan my bca satset,constraints of all bca mobile network users good red networks qris eed up,Positif
udahlah jaringan jelek tambah hp kentang,already a bad network adds potato cellphones,Negatif
uda tf bank minta wifi tokonya,uda tf bank asking for wifi shop,Netral
sukaa kl bayar pke qris,sukaaa kl pay pke qris,Netral
sering terjadi,often occur,Netral
makanya lebih suka cash qris ribet soalnya takut kalau tiba ngeblank,so prefer cash qris complicated because i am afraid that it will arrive,Negatif
lagi panik,more panicked,Positif
pake blu lama,use old blu,Positif
gada kuota cafe nekat pake qris minta wifi cafe,gada cafe quota desperate to use qris ask wifi cafe,Negatif
iya kyk perasaan rumah sengeleg tapi giliran nge qris lelet mana ngantri bnyk,"yes, the feeling of the house is a single, but it's the turn to go, where is it.",Negatif
bukan sokan males tarik tunai,not sokan lazy to withdraw cash,Negatif
pernah sampe minta hospot kasirnya,once asked for the cashier host,Netral
anjir lemot tidak usah liatin,slow down don't have to see,Negatif
mau bayar baru inget gada kuota,want to pay just remember there is a quota,Netral
sepengalaman pake qris kalo jaringan jelek dihotspot sma kasirnya sekelas matahari dept gw pernah dikasih hotspot sma mbakx,experience using qris if the bad network in the high school hotspot of the cashier is a class of sun dept.,Negatif
panik berasa sampe sini,panic feels until here,Netral
pernah lagimana ngantri,ever again how to queue,Netral
ternyata punya kuota,apparently has a quota,Positif
jarang pake qris kalau mls ngeluarin dompet dompet selalu uang minimal 50k,rarely use qris if mls releases a wallet always a minimum of 50k money,Positif
jaringan jelek gua bayar 4 kalii,i pay bad network 4 times,Negatif
ihh pernah edcnya tidak sinyal aku sama mbanya sampe jalan lobby mall,ihh encec edc does not signal my same mother sampe jalan lobby mall,Netral
jaringan jelek oke livin mandiri maintenance anjirrr geramnyaaa akuuu,bad network okay livin independent maintenance anjirrr furious,Negatif
pernah wanj antri panhang shell bagian bayar hp mati malu pada liatin,never nyantri the long shell section of the cellphone screen died shame on the clay,Negatif
pernah situasi kya gini maluu bangett wehhh,once a situation is really embarrassed,Positif
pernha minta hospot,perna asked for a hotspot,Netral
kaya canggung mana sinyal lemot lagi,rich which is awkward where the signal is slow again,Negatif
mending daripadahp kentang gwpas bayar langsung ngelag bisa pencet,"better than my potato cellphone when i pay directly, it can be pushed",Positif
bwaha,bwaha,Netral
kalau minta hospot dulu sama kasirnya njir,if you ask for a host first with the cashier,Positif
hp nglag bikin pusing mau bayar,hp nglag makes dizzy want to pay,Netral
kadang smpek rela ngasih hotspot antrian panjang,sometimes smpek is willing to give a longspot long queue,Positif
lebih panik wkt tu tiba2 hp lowbat scane barcode sampe hrus minjam carger kasirnya dlu,more panic when that suddenly the hp lowbat scan barcode until it must bine the cashier's carger dlu,Positif
hospot dulu bg,hotspot first bg,Positif
uda bank2 indonesia berkerja sama apple paykrn system kerjanya mencloning kartu fisik dan simpan app apple payapple wallet tinggal tap to pay mesti jaringan internet mati jelek tetap isa gunakan system kerjanya gunakan nfclagian mesin2 edc indonesia uda percaya diri support contacless payment,uda bank2 indonesia collaborated with apple paykrn system working cloning physical cards and save apple payapple wallet apps tap to pay must be die to dead networks still use the working system use nfcliah edc machine uda uda self -support contacless payment support,Negatif
pernah bukan jaringan jelek karena update aplikasi dulu karna lama di pake,never was not an ugly network because the application update first because it used to be used for a long time,Negatif
sering terjadii,often occur,Netral
bagus ngelag lah transfer trnyata uang cukup dikira sama mas kasirnya ada kuota smpe hostpotin pas transaksi pake tunai kurang seribu malu bangettt auto lari emak minta duit,"it's good to replace the transfer, it turns out that money is mistaken for the cashier, there is a quota for hostpotin when the transaction uses cash less than a thousand, really embarrassed.",Positif
pernah ahahahaaa endingnya minta hotspot mas masnya,once ahahahaha the ending asked for the hotspot mas mas,Netral
kadang sampe minta hotspot jualan kelamaan gada sinyal,sometimes until i ask for a hotspot to sell a signal,Netral
pernah,once,Netral
jantung dag dig dug antri belakang 1 km muka tekuk semua,heart dag dig dug queued back 1 km face bending all,Netral
samakesel tau,samakesel know,Netral
paling sial dibelakang ada ngantri panjang nungguin bingung kasir bingung ngantri bingung,the most unlucky behind there is a long queue waiting for the confusion of the cashier confused about the confusion,Negatif
cape ngantri ternyata bisa cash,cape ngantri turned out to be cash,Netral
bete,bete,Netral
pernah bayar qris lupa pin,never paid qris forgot the pin,Netral
tg panik kalo gada kuota,tg panic if the quota is,Netral
gua pernah minta hospot jual,i've asked the hospot to sell,Netral
lagi malu bangettttt,i'm really embarrassed,Positif
pernah lupa ngk kuota mau bayar baru nydar mana gua beli bnyk bngt akhirnya dng keberanian setan minta uang sama kasir,i've forgotten the quota want to pay for a new one where i bought a lot of greatly with the courage of the devil to ask for money with the cashier,Positif
kalo bayar qris jaringan jelek ada kuota pinta hotspot jual selalu ketemu penjualan baik,"if you pay for a bad network, there is a quota for selling hotspots, always find good sales",Positif
gua minta langsung hotspot sama kasir,i asked for a hotspot directly with the cashier,Positif
woi mules pen berak deg2an jaringannya jelekkk,woi mules pen defec2 is bad network,Negatif
lupa tidak punya paket data ujung2 minta hotspot mbamasnya,forgot to have no data package ujung2 asking for the mbaminya hotspot,Netral
jujur deg2 an,honest deg2 an,Positif
allah,allah,Netral
waktu kuota tidak tau nasibku,when the quota does not know my fate,Netral
dengan kesadaran penuh boleh minta hospot bentar tidak kuota jaringannya jelek soalnya intinya terang gaes,"with full awareness, you can ask for a host for a while not the network quota is bad because the point is clearly gaes",Negatif
tiba2 kuota abiss megang cash,suddenly the quota runs out holding cash,Netral
gua minta hotspot,i asked for a hotspot,Netral
takut dikira ngedit jir,afraid of being mistaken for editing jir,Negatif
pernah kek gni sampe keringetan jir anxiety,never gni until the sweat of anxiety jir,Netral
perna jajan dikantin bayar pake qris minumannya diminum jaringan jelek panik se paniknya,never snacks in the canteen pay using qris drinks drinking bad networks panicked as panicked,Negatif
pernah mana antre belakang banyak lg,where have the back queues a lot of them,Netral
sebel kalau mau ngetap krl pdhl masih ngantri gilirannya d buka giliran tap susah takut kan blkng ngdumel wkwkwkw,"resentful if you want to beat the krl pdhl still queued for turn to open your turn tap hard to be afraid, right?",Negatif
woy mana berkali kali gagal enak sama kasirnya,woy where many times failed to be good with the cashier,Positif
mening lah gua gada kuota,mening me a quota,Netral
mau byar pake qris ak lupa bawa hp,"want to pay using qris, don't forget to bring a cellphone",Netral
kemarin ngalamin percaya diri karna ada kembalian pas abang bilang pke qris ka iywdh oke saking percaya diri tau bisa bisa nangis ini bukan salah pokoknya kan mau bayar case siapa suru tidak ada kembalian,"yesterday i experienced confidence because there was a change when i said that i was qris, okay, i was so confident that i could cry, this was not the wrong point, right?",Positif
sering bgtt,often bgtt,Netral
takut dikira ngedit qrisnya,afraid of being mistaken for editing the qris,Negatif
sbg kasir canggung jir nungguinnya,as a cashier awkward waiting for it,Negatif
sampe sering dikasih hotspot sama mba kasirnya,until often given a hotspot with the cashier,Netral
mending jaringan jelek coba lagi scan tiba2 hp ngelag tidak,"better network try again, scanning suddenly the cellphone is not lagging",Positif
hp busuk bngt pake qris lama bngt buka apk doang,hp is very rotten using a long time to open the apk only,Positif
ahahahah liat liatan bjir,ahahahah see liatan bjir,Netral
malah tiba2 paket,instead suddenly the package,Netral
knp gni tu sinyal tbtb nglaggg,why is the tni signal tbtb ngelag,Netral
orang plonga plongo jdinya hahaha,plonga plongo people so hahaha,Positif
gua orangnya panikan gua lebih milih bayar cash,i panicked i prefer to pay cash,Netral
blom masuk masuk,blom entered,Netral
inimah banget tiap bayar,this is really every time i pay,Positif
hp lalot,slow cellphone,Negatif
paling benci kalau di tahap pembayaran,most hate when at the payment stage,Negatif
terbiasa rumah pakai wifi waktu luar lupa beli paket data bayar qris minta tetring masmbak,accustomed to using a wifi home time outside forgot to buy a qris data package asking for tetring masmbak,Netral
pernah untung nggk malu minta hotspot mbak,"i never fortunate to be ashamed of asking for a hotspot, miss",Negatif
banget tibatiba update aplikasi mas gofoodnya nungguin update dulu,"really suddenly update the gofood application, waiting for the update first",Positif
telkomsel sialan muak guaaaa,damn telkomsel is fed up,Netral
hahahahha pernah mana antrian belakang panjang lu bayangin keringet guee sebanyak,hahahahha where have you ever the long rear queue you imagine my sweetness,Negatif
kemarin kejadian cash cukup mobile banking logout karna hp baru servis salah masukin pin pake kartu plus sengaja ke cancle pembayaran kirain corrections,"yesterday the cash incident was quite mobile banking logout because the new cellphone service entered the pin using the card plus deliberately to the cancle payment, because",Positif
makanya kalau kluar ttp bawa duit pernah soalnya kek gini rupanya paket habis,"so if you go out, keep carrying money ever because it seems like this package runs out",Netral
mana suka gangguan oii,where do you like oi disorder,Netral
tb tb hp ba lag,tb tb hp ba lag,Netral
kadang mana hp duka nglag kaga di pencet,cage which cellphone likes to slag when pushed,Netral
di kasi hotspot bayarrr,at the paypot payrrr,Netral
tiba hpnya mati bjir,arrived his cellphone died bjir,Netral
lucu bangett qris core,really funny qris core,Positif
waktu ngonser,ngonger time,Netral
soalnya takutnya dikira ngedit nota pembayaran berhasilnya,because i'm afraid i think to edit the payment memorandum success,Negatif
lupa kalau gapunya kuota,forgot that the quota gap,Netral
pernah jir malu bet akhirnya bilang gajadi ni cash,once shy bet finally said that it was cash,Negatif
sumpah panik asli,original panic oath,Positif
gua pernah dihospotin sama kasirnya blokm gaada sinyal tokonya gabisa pake debit gue gaada cash wkwkwk,"i've been in the hotspot with the cashier blok m, no signal the shop can't use my debit, i don't have cash, wkwkwk",Netral
kadang apk sendiri error,sometimes the apk itself error,Netral
gua wktu tour jogja smpe nangis gr gabisa qris takut ditinggal bus,gua wktu tour jogja smpe nangis gr gabisa qris takut ditinggal bus,Netral
sering,often,Netral
gelisah aslii,original anxiety,Positif
sebagai kasir ajah kadang hostpot tin pembeli,"as a cashier, sometimes the buyer's hotspot",Netral
pernah,once,Netral
paniknya bukan main,panic is not playing,Netral
yang sengaja tiba blng gx sinyal tidak kuota,who deliberately arrived said no signal was not a quota,Netral
gunung gada sinyal bwa duit cash bayar qris,mount gada signal bwa duit cash pay qris,Netral
kmna mana bawa cash ada di jalan,where do you bring cash on the road,Netral
jgn diliatin pls malu nightmare buat introvert,don't look at pls ashamed nightmare for introverts,Netral
pernah byr kamera geter geter anj lah g bisamalu bget,never byr geter geter camera can be bget,Netral
pernah nyampe disuruh pake wifi kasirnya,never arrived at the cashier wifi,Netral
gua pernah gini mana ngantri,i have ever been queued,Netral
pernah anjerr gacoan mana ngantri lgi,never anjeer gacoan where queued again,Netral
hemmm,hemmm,Netral
pernah ih malu bgtt mana blakang ngantrii bgtt,i once embarrassed where was the back,Netral
iyalagi langsung minta password wifi,ialagi immediately asked for a wifi password,Netral
minta hotspot sama kasirnya cuy,ask for a hotspot with the cashier cuy,Netral
panik,panic,Netral
pake bca degdegan susah ijo kalo depan kasir,using bca degdegan is hard to green if the front of the cashier,Negatif
pernah makan keluar bawa dompet lupa ternyata paket data pas bayar sama mas mas boleh minta hotspot ngga,"never eating out with a wallet forgot forgotten it turns out that the data package when you pay with mas, bro, you can ask for a hotspot",Netral
pernah sampe nya kesel,ever arrived,Netral
ujung2 minta hotspot,ujung2 ask for a hotspot,Netral
lebih parah kalau baru inget saldo habis sama uang cash megang,worse if you just remember the balance runs out with cash holding,Negatif
berakhir bayar pake cash,end up paying using cash,Netral
untung pake case tidak panik,fortunately using the case is not panicked,Positif
yang cash dompet saldo mbanking paketan bawa atm,the one who cash the mbbanking paketan brands broking atm,Netral
salfok kasir sama customer videonya cocok couple bahahha,cashier salfok and customer video suitable couple bahahha,Positif
langsung keringet dingin kalau antre,immediately sweat cold when queued,Negatif
mencoba tenang,trying to calm down,Positif
tiba kamera burem2 manja kaga scan,arriving a spoiled blurred camera scan,Netral
lebih benci kalo hp lemot maksimal sampe ngelag gabisa dipecet,more hate if the cellphone is slow to the maximum until it can't be squeezed,Negatif
woi pernah tbtb jaringan tel ilang kepaksa cash,woi never tbtb tel ilang network to cash,Netral
ap pas antrii paniknya makin,ap pas antrii panic increasingly,Netral
kaya pengen mbak hotspot,like you want a hotspot,Netral
pernah ketemu sama dananya gangguan mana semua cashless d situ kasian woyy ikut panik,never met with the funds where all the cashlesss were still sorry,Negatif
paling benci sama apk bankinge money dikit minta update,most hate the apk bankingge money a little asking for an update,Negatif
prnh pas g sadar kuota,prnh pas g aware kueba,Positif
awkward berasa,awkward tastes,Negatif
degdegan teror,terror,Netral
pernah saking paniknya coba 3 kali kepotong saldo derita ngak enakan diam ngak ngasih tau,i once panicked trying 3 times to cut the balance of suffering not to be quiet not telling you,Netral
prnahh aplikasinya d perbaharui dlu,i have the application and update it,Netral
pernaaahwaktu pake hp oppo a5s buka apk lama auto keringet dingin,retired when using the hp oppo a5s open the old apk auto cold sweat,Negatif
pernah bjir di jco malu bgttt mana gapegang cash untung hotspot temen,"never flooded in jco, how embarrassed, how could i not hold cash for a friend's hotspot",Netral
kalo kasirnya cowo pls malu ak pernah gitu untung kasir cewe,"if the cashier is a guy, it's shy, it's never so fortunate for a girl's cashier",Negatif
eh bgt,eh really,Positif
lebih parah lupa isi paket data mau bayar uang tunai kaga cukup,worse forgot the contents of the data package want to pay enough cash kaga,Negatif
sama kadang enak sama temen misal bayar gaboleh pake qris minjem duit,"the same sometimes it's delicious with friends, for example, pay for using qris, borrow money",Positif
gua pernah hp gua tbtb mati bisa nyala pdhl sblumnya sekitar 50an smpe balik jadi beli sumpil malu,"i've been my cellphone when i died, i could turn on before it was around the 50s, so i bought a shame",Netral
kerenn anneth sukses cantikk,korean anneth success beautiful,Positif
meanwhile apa sinyal cepet cepet buat youtube ini nunjukin seberapa jelek sinyal kalo tempat crowded,"meanwhile what is the fast signal quickly for youtube, show how bad the signal is if the crowded place",Negatif
pllisss,pllisss,Netral
yg tiba2 paketnya habis,packet,Netral
pernah bayar pake qris lupa klw g kuota internet perasaan malu gw singkirin dulu minta hotspot sama kasirnya,"never paid using qris forgot about the internet quota, the shame i feel ashamed to ask for a hotspot with the cashier",Netral
baru bat tadi ngalamin njir mana ngelag anjir,just battered where did you know where to slag it,Netral
tiba2 hp panas didepen kasirr,suddenly the hot cellphone in front of the cashier,Positif
penasaran kasir kita lama gara2 jaringan jelek mikirnya ya tidak enakan,"curious about our cashier for a long time because of the bad network thinking, it's not good",Negatif
knp selalu terjadi tiap bayar jaringan jelek,why does it always happen every time you pay a bad network,Negatif
emng masalah nasional keknya,indeed national problems kenya,Netral
knapa suka tbtb,why do you like tbtb,Netral
bli kuotaa duluuu anjerrr,buy a quota first anjir,Positif
aaakkkk kesel bngtttt,aaakkkk sughtte bngtttt,Netral
gegara qris membeli rasa ikut uji nyali deg degkan,gegara qris bought a sense of taking the degkan guts test,Netral
pake qris suka degdegan,using qris likes to be degdegan,Netral
asli,original,Positif
biasanya minta hotspot abgnya,usually ask for the abg hotspot,Negatif
mna bawa cash sama sxli,mna bring cash with sxli,Netral
apalg dibelakang ngantri makin degan,especially behind the queue to eat,Negatif
pernah minta wifi kaka kasirnya,never asked for wifi kaka the cashier,Netral
emng bagus kalau make qris tolong usahakan punya uang cash kadang heran sama customer biar 2 ribu pake qris g masalah heran,good if you make qris please try to have cash sometimes surprised at the customer so that 2 thousand uses qris g the problem is surprised,Positif
kan nfc,right nfc,Positif
lagi banget sial,really unlucky,Positif
gua buka scan 10 menit makanan,i open a 10 -minute scan,Netral
gus pernahjaringan jelek di kasih hotspot wifi sama kasir ny bayar qris,gus the role of a bad network in the wifi hotspot and the cashier pay qris,Negatif
jelek quota qr umkm bukan di cafe gaada wifi terpaksa minta tathering penjualnya,ugly quota qr umkm not in the cafe no wifi was forced,Negatif
malu bangett,very shame,Positif
lebih malu udh pesan ternyata ngga pake qris pdhl biasanya,more ashamed of having ordered it turns out that i don't use qris pdhl usual,Positif
pernah indikator merah nyalahin sinyal jelek taunya kouta abis anj,once an indicator of red blame the ugly signal he knows kouta abis anj,Negatif
panikkk anjj,panikkk anjj,Netral
pernah lupa pin,never forgot pin,Netral
real,real,Positif
langsung keringat dingin mana antri banyak plisss trauma,direct cold sweat which queued a lot,Negatif
pernahhh sampe lama bgttt akhirnya minjem hospot penjualnya wkwkkwwkkw mana uda lama di sana,i've been going to borrow a hotspot hotspot for a long time,Negatif
sebenernya sengaja gua lama lamain kalo kasirnya menarik,"actually, i deliberately took a long time if the cashier was interesting",Positif
takut dikira ngedit wkwkw,afraid of being mistaken for editing wkwkw,Negatif
plissss bangettt,plissss really,Positif
bner,bner,Netral
fr pernah di xxi payment pake qris entah knp tb tb hp ku superduper lemottt,"fr has ever been in xxi payment using qris, whether i don't have a library superduper hp tb",Netral
beneran pake ginian semuaaduh gaptek lgii,really use all of it,Positif
ketakutan gen z gaada internet,fear of gen zada ​​internet,Netral
hahah fr si,hahah fr,Netral
anjrpanik banget kdg malu mna ada kuota tidak minta hotspot,anjir really panicked kdg ashamed where there is a quota not asking for a hotspot,Positif
sampe ditungguin sinyal,until the signal is waiting for,Netral
